WorldSize,Run,ActualTime
2,0,211.80240845680237
4,0,50.70300316810608
6,0,74.18139553070068
8,0,45.91553807258606
10,0,36.96965837478638
12,0,30.79936957359314
14,0,26.56351089477539
16,0,23.30944538116455
2,1,211.2990322113037
4,1,45.38427472114563
6,1,60.00726628303528
8,1,47.265791177749634
10,1,36.79808259010315
12,1,30.628745794296265
14,1,26.52407145500183
16,1,23.410788774490356
2,2,211.14375948905945
4,2,49.23323917388916
6,2,73.67288994789124
8,2,46.63195252418518
10,2,36.83924150466919
12,2,30.615288019180298
14,2,26.592950105667114
16,2,23.318421840667725
2,3,210.9948353767395
4,3,46.89555215835571
6,3,79.65575861930847
8,3,49.10797095298767
10,3,36.69231963157654
12,3,30.93598747253418
14,3,26.449821710586548
16,3,23.374608278274536
2,4,207.72968411445618
4,4,47.820003032684326
6,4,57.41533017158508
8,4,59.936208963394165
10,4,36.6309711933136
12,4,30.83677053451538
14,4,26.444123029708862
16,4,23.54766869544983
