WorldSize,Run,ActualTime
2,0,0.124
4,0,0.425
6,0,0.97
8,0,1.371
10,0,1.987
12,0,1.853
14,0,1.801
16,0,2.351
2,1,0.147
4,1,0.538
6,1,0.978
8,1,1.459
10,1,1.855
12,1,1.851
14,1,2.038
16,1,2.134
2,2,0.129
4,2,0.412
6,2,0.895
8,2,1.371
10,2,1.983
12,2,1.825
14,2,2.034
16,2,2.311
2,3,0.136
4,3,0.582
6,3,0.899
8,3,1.426
10,3,1.984
12,3,2.074
14,3,2.063
16,3,2.315
2,4,0.124
4,4,0.417
6,4,1.019
8,4,1.387
10,4,2.101
12,4,2.003
14,4,2.092
16,4,2.382
