WorldSize,Run,ActualTime
2,0,4.421
4,0,2.126
6,0,2.208
8,0,1.576
10,0,2.887
12,0,2.756
14,0,2.736
16,0,2.986
2,1,4.572
4,1,2.123
6,1,2.165
8,1,1.711
10,1,2.886
12,1,2.831
14,1,2.475
16,1,2.726
2,2,4.32
4,2,1.978
6,2,2.053
8,2,1.654
10,2,2.886
12,2,3.043
14,2,2.764
16,2,2.982
2,3,4.61
4,3,2.11
6,3,2.033
8,3,1.613
10,3,2.867
12,3,3.009
14,3,2.736
16,3,2.797
2,4,4.594
4,4,1.977
6,4,2.049
8,4,1.59
10,4,2.998
12,4,3.147
14,4,2.757
16,4,3.008
