WorldSize,Run,ActualTime
2,0,1.8275446891784668
4,0,1.6021056175231934
6,0,1.6116538047790527
8,0,1.6758580207824707
10,0,9.951421976089478
12,0,10.237882852554321
14,0,9.807735681533813
16,0,10.446318864822388
2,1,1.7834811210632324
4,1,1.6172304153442383
6,1,1.652186393737793
8,1,1.5778076648712158
10,1,10.204224586486816
12,1,9.694399118423462
14,1,9.935903787612915
16,1,10.94922924041748
2,2,1.7559447288513184
4,2,1.5802686214447021
6,2,1.596501350402832
8,2,1.6116304397583008
10,2,9.991573333740234
12,2,9.852302312850952
14,2,10.24347186088562
16,2,10.291944980621338
2,3,1.7971758842468262
4,3,1.5568616390228271
6,3,1.5839636325836182
8,3,1.5862820148468018
10,3,9.88243055343628
12,3,10.252933025360107
14,3,10.004428625106812
16,3,10.406328916549683
2,4,1.7527241706848145
4,4,1.576845645904541
6,4,1.5824618339538574
8,4,1.6136491298675537
10,4,9.458833932876587
12,4,10.16277289390564
14,4,10.213975429534912
16,4,10.434766054153442
