NumThreads,Run,ExecTimeSecs
1,0,6.3
2,0,10.22
3,0,12.79
4,0,11.99
5,0,17.71
6,0,17.49
7,0,20.13
8,0,20.23
1,1,6.42
2,1,8.68
3,1,11.27
4,1,11.81
5,1,14.66
6,1,18.03
7,1,19.68
8,1,20.33
1,2,6.01
2,2,8.5
3,2,11.04
4,2,11.83
5,2,14.47
6,2,17.62
7,2,19.32
8,2,20.15
1,3,5.97
2,3,8.56
3,3,11.04
4,3,11.82
5,3,14.93
6,3,18.86
7,3,20.91
8,3,22.06
1,4,6.18
2,4,8.56
3,4,10.98
4,4,11.88
5,4,14.76
6,4,17.38
7,4,19.15
8,4,19.16
