NumThreads,Run,ExecTimeSecs
1,0,46.658
1,1,46.791
1,2,46.612
1,3,46.64
1,4,46.683
2,0,23.781
2,1,23.765
2,2,23.782
2,3,23.842
2,4,23.776
3,0,16.054
3,1,16.075
3,2,16.165
3,3,16.085
3,4,16.074
4,0,12.215
4,1,12.197
4,2,12.192
4,3,12.206
4,4,12.201
5,0,10.168
5,1,9.914
5,2,10.018
5,3,9.954
5,4,9.962
6,0,8.637
6,1,8.662
6,2,8.721
6,3,8.749
6,4,8.722
7,0,7.718
7,1,7.658
7,2,7.638
7,3,7.613
7,4,7.814
8,0,7.251
8,1,7.39
8,2,7.417
8,3,7.485
8,4,7.344
