NumThreads,Run,ExecTimeSecs
1,0,82.02
2,0,43.61
3,0,32.13
4,0,25.67
5,0,30.72
6,0,26.61
7,0,23.57
8,0,22.19
1,1,80.97
2,1,43.16
3,1,31.39
4,1,25.4
5,1,30.18
6,1,25.83
7,1,23.13
8,1,21.8
1,2,78.8
2,2,42.62
3,2,30.34
4,2,25.27
5,2,29.02
6,2,25.67
7,2,23.1
8,2,21.44
1,3,81.75
2,3,42.09
3,3,30.74
4,3,25.2
5,3,30.06
6,3,26.37
7,3,23.88
8,3,22.38
1,4,80.03
2,4,42.29
3,4,30.87
4,4,25.26
5,4,30.56
6,4,26.05
7,4,24.85
8,4,22.65
