WorldSize,Run,Time
2,0,135.81
3,0,92.38
4,0,71.78
5,0,91.44
6,0,75.39
7,0,67.51
8,0,59.15
9,0,52.57
10,0,50.69
11,0,44.60
12,0,41.13
13,0,39.96
14,0,36.33
15,0,34.36
16,0,32.97
