WorldSize,Run,Time
2,0,137.71
3,0,92.97
4,0,73.77
5,0,93.57
6,0,81.61
7,0,71.17
8,0,64.45
9,0,89.75
10,0,90.79
11,0,85.16
12,0,93.25
13,0,105.13
14,0,114.31
15,0,125.87
16,0,136.95
