WorldSize,Run,Time
2,0,154.20
2,1,154.33
2,2,154.18
3,0,105.80
3,1,104.69
3,2,104.16
4,0,79.16
4,1,79.18
4,2,79.10
5,0,86.73
5,1,86.95
5,2,87.56
6,0,74.48
6,1,74.32
6,2,74.35
7,0,69.78
7,1,69.56
7,2,69.65
8,0,62.24
8,1,62.66
8,2,62.25
9,0,54.68
9,1,54.79
9,2,54.68
10,0,50.58
10,1,50.12
10,2,50.25
11,0,45.43
11,1,45.30
11,2,45.33
12,0,42.35
12,1,42.09
12,2,42.39
13,0,40.77
13,1,41.37
13,2,42.19
14,0,38.74
14,1,38.62
14,2,38.40
15,0,35.91
15,1,34.45
15,2,34.44
16,0,33.20
16,1,33.25
16,2,33.10
