TaskId,SchedulingDecision
10.244.5.4,aks-nodepool1-58965901-vmss000003,10.244.2.4,aks-nodepool1-58965901-vmss000001,10.244.1.3,aks-nodepool1-58965901-vmss00000c,10.244.15.4,aks-nodepool1-58965901-vmss00000d,10.244.11.5,aks-nodepool1-58965901-vmss000005,10.244.12.4,aks-nodepool1-58965901-vmss000004,10.244.9.3,aks-nodepool1-58965901-vmss00000g,10.244.13.3,aks-nodepool1-58965901-vmss00000a,10.244.14.4,aks-nodepool1-58965901-vmss000002,10.244.4.4,aks-nodepool1-58965901-vmss000006,10.244.8.3,aks-nodepool1-58965901-vmss00000e,10.244.10.3,aks-nodepool1-58965901-vmss00000b,10.244.7.4,aks-nodepool1-58965901-vmss000008,10.244.16.12,aks-nodepool1-58965901-vmss000000,10.244.6.4,aks-nodepool1-58965901-vmss000007,10.244.3.3,aks-nodepool1-58965901-vmss000009
0,10.244.5.4,8,10.244.2.4,2
1,10.244.1.3,8,10.244.15.4,2
2,10.244.11.5,8,10.244.12.4,6
3,10.244.9.3,8,10.244.13.3,6
4,10.244.14.4,8,10.244.4.4,2
5,10.244.8.3,8,10.244.10.3,5
6,10.244.7.4,8,10.244.16.12,6
7,10.244.6.4,8,10.244.3.3,2
8,10.244.2.4,6,10.244.15.4,6,10.244.4.4,3
9,10.244.3.3,6,10.244.4.4,1
10,10.244.11.5,8,10.244.12.4,4
11,10.244.9.3,8,10.244.13.3,2
12,10.244.13.3,6,10.244.12.4,4
13,10.244.7.4,5
14,10.244.16.12,5
15,10.244.8.3,8,10.244.10.3,7
16,10.244.5.4,8,10.244.2.4,6
17,10.244.14.4,8,10.244.7.4,3,10.244.16.12,1
18,10.244.1.3,8,10.244.15.4,1
19,10.244.6.4,8,10.244.15.4,7
20,10.244.4.4,8,10.244.3.3,3
21,10.244.11.5,6
22,10.244.8.3,8,10.244.10.3,2
23,10.244.10.3,4
24,10.244.5.4,8,10.244.2.4,3
25,10.244.2.4,4
26,10.244.3.3,5,10.244.11.5,2
27,10.244.12.4,8,10.244.10.3,2,10.244.2.4,1
28,10.244.9.3,8
29,10.244.13.3,8,10.244.6.4,4
30,10.244.1.3,8,10.244.15.4,7
31,10.244.14.4,8,10.244.15.4,1
32,10.244.4.4,6
33,10.244.13.3,7
34,10.244.16.12,8,10.244.6.4,6
35,10.244.5.4,8,10.244.8.3,7
36,10.244.7.4,8,10.244.4.4,2,10.244.6.4,2,10.244.13.3,1
37,10.244.1.3,8,10.244.12.4,5
38,10.244.9.3,8,10.244.15.4,7
39,10.244.14.4,8,10.244.12.4,3,10.244.15.4,1
40,10.244.11.5,8,10.244.3.3,3
41,10.244.5.4,8,10.244.8.3,3
42,10.244.8.3,5,10.244.3.3,4
43,10.244.16.12,8,10.244.3.3,1
44,10.244.10.3,8,10.244.7.4,5
45,10.244.6.4,8,10.244.7.4,2
46,10.244.2.4,6
47,10.244.1.3,8,10.244.2.4,1
48,10.244.9.3,8,10.244.4.4,7
49,10.244.15.4,8,10.244.12.4,7
50,10.244.13.3,8,10.244.14.4,4
51,10.244.11.5,7
52,10.244.5.4,8,10.244.14.4,4,10.244.11.5,1
53,10.244.10.3,4
54,10.244.10.3,4
55,10.244.8.3,6
56,10.244.16.12,8,10.244.3.3,2
57,10.244.7.4,8,10.244.6.4,6
58,10.244.9.3,8,10.244.4.4,5
59,10.244.3.3,6,10.244.4.4,3,10.244.8.3,2
60,10.244.1.3,8,10.244.15.4,2
61,10.244.12.4,4
62,10.244.13.3,8,10.244.15.4,6
63,10.244.2.4,8,10.244.12.4,4
64,10.244.5.4,8
65,10.244.14.4,8,10.244.7.4,1
66,10.244.6.4,7
67,10.244.16.12,8,10.244.7.4,2
68,10.244.9.3,8,10.244.7.4,4
69,10.244.11.5,8
70,10.244.4.4,4
71,10.244.3.3,8,10.244.4.4,4
72,10.244.1.3,8,10.244.15.4,7
73,10.244.2.4,8,10.244.13.3,3
74,10.244.8.3,7
75,10.244.5.4,8,10.244.13.3,3
76,10.244.14.4,8,10.244.13.3,1
77,10.244.9.3,8,10.244.15.4,1,10.244.13.3,1
78,10.244.1.3,4
79,10.244.15.4,5
80,10.244.7.4,8,10.244.16.12,1
81,10.244.3.3,8,10.244.16.12,5
82,10.244.12.4,5
83,10.244.12.4,3,10.244.16.12,1
84,10.244.6.4,5
85,10.244.10.3,5
86,10.244.11.5,8,10.244.10.3,2
87,10.244.2.4,8
88,10.244.5.4,8,10.244.6.4,3,10.244.10.3,1,10.244.16.12,1
89,10.244.9.3,8,10.244.13.3,5
90,10.244.14.4,8
91,10.244.4.4,8,10.244.3.3,3
92,10.244.8.3,8,10.244.3.3,1
93,10.244.7.4,8,10.244.3.3,1
94,10.244.1.3,8,10.244.11.5,6
95,10.244.5.4,8,10.244.3.3,3,10.244.11.5,2
96,10.244.2.4,7
97,10.244.9.3,4
98,10.244.13.3,8,10.244.9.3,4,10.244.2.4,1
99,10.244.4.4,5
