TimeStampSecs,NumIdleVms,NumIdleCpus,NumCrossVmLinks
1714774139.8363037,14,112,0
1714774144.005488,7,64,136
1714774148.1652105,3,37,192
1714774152.3333824,0,15,200
1714774156.5010724,0,1,278
1714774160.6624508,0,1,278
1714774164.829187,0,1,278
1714774168.98869,0,1,278
1714774173.1534681,0,1,278
1714774177.3088012,0,1,278
1714774181.4757822,0,1,278
1714774185.6376822,0,1,278
1714774189.8092244,0,1,278
1714774193.9712996,0,1,278
1714774198.1317954,0,1,278
1714774202.2915187,0,1,278
1714774206.4767275,0,1,278
1714774210.6455834,0,1,278
1714774214.8193693,0,1,278
1714774218.9792628,0,1,278
1714774223.1414845,0,1,278
1714774227.297372,0,1,278
1714774231.4666839,0,1,278
1714774235.6385946,0,1,278
1714774239.8096855,0,1,278
1714774243.9720175,0,1,278
1714774248.1342816,0,1,278
1714774252.295157,0,1,278
1714774256.4535859,0,1,278
1714774260.621424,0,1,278
1714774264.7856898,0,17,182
1714774268.9549646,0,8,154
1714774273.120448,0,8,154
1714774277.2779498,0,8,154
1714774281.4446528,0,8,154
1714774285.6038003,1,20,113
1714774289.7714138,0,4,131
1714774293.9316237,0,4,131
1714774298.0943716,0,4,131
1714774302.2549448,0,4,131
1714774306.4160416,0,4,131
1714774310.5769832,0,4,131
1714774314.7432337,0,4,131
1714774318.9022179,0,4,131
1714774323.0737946,0,4,131
1714774327.2281828,0,4,131
1714774331.4021494,0,4,131
1714774335.5799055,0,4,131
1714774339.7461078,0,4,131
1714774343.9060087,0,4,131
1714774348.0671859,1,12,131
1714774352.2261567,0,11,139
1714774356.4016562,0,11,139
1714774360.5627208,1,19,139
1714774364.7233856,0,0,246
1714774368.8843243,0,0,246
1714774373.0541773,0,0,246
1714774377.2141528,0,0,246
1714774381.376928,0,7,246
1714774385.540055,0,7,246
1714774389.7007742,0,7,246
1714774393.8623016,0,7,246
1714774398.0289216,0,7,246
1714774402.1876113,0,7,246
1714774406.348416,0,7,246
1714774410.5088243,0,21,177
1714774414.6694956,0,6,248
1714774418.8238444,0,6,248
1714774422.9870744,0,6,248
1714774427.1507995,0,6,248
1714774431.3120487,0,6,248
1714774435.4720228,1,16,232
1714774439.6416342,0,1,253
1714774443.8043618,0,1,253
1714774447.9660015,0,1,253
1714774452.141224,0,6,239
1714774456.3064966,0,6,239
1714774460.467298,0,6,239
1714774464.6286957,0,6,239
1714774468.7851985,0,6,239
1714774472.940896,0,6,239
1714774477.102822,0,5,247
1714774481.271111,0,10,247
1714774485.4471064,0,10,247
1714774489.6159773,0,10,247
1714774493.7832375,0,7,221
1714774497.9415221,1,20,181
1714774502.096461,0,7,221
1714774506.2550285,1,14,221
1714774510.4158728,0,6,221
1714774514.5758147,0,13,215
1714774518.7374003,0,6,221
1714774522.901341,1,15,213
1714774527.059254,1,25,150
1714774531.2184443,0,6,196
1714774535.3766952,0,4,212
1714774539.5452302,0,4,212
1714774543.7124434,0,4,212
1714774547.8731039,0,4,212
1714774552.0344,0,4,212
1714774556.2086282,0,4,212
1714774560.3708727,0,4,212
1714774564.5335593,0,4,212
1714774568.6891334,0,4,212
1714774572.8534443,0,4,212
1714774577.0220118,0,4,212
1714774581.1898675,0,4,212
1714774585.3520794,0,4,212
1714774589.5085332,0,4,212
1714774593.665766,0,4,212
1714774597.8475678,0,4,212
1714774602.0083575,0,4,212
1714774606.1696663,0,4,212
1714774610.332972,0,4,212
1714774614.4935293,0,4,212
1714774618.652621,0,4,212
1714774622.8220866,0,4,212
1714774626.999164,0,4,212
1714774631.164434,0,4,212
1714774635.331253,1,13,179
1714774639.495408,0,5,179
1714774643.660932,0,5,179
1714774647.823837,1,19,163
1714774651.9829764,0,16,166
1714774656.1487546,0,7,187
1714774660.3101366,0,7,187
1714774664.475854,0,7,187
1714774668.6375682,0,7,187
1714774672.7990139,0,14,187
1714774676.9585943,0,0,208
1714774681.1204183,0,0,208
1714774685.2832677,0,0,208
1714774689.4425535,0,5,184
1714774693.6035974,0,1,187
1714774697.7690306,0,1,187
1714774701.9399073,0,1,187
1714774706.1008828,0,1,187
1714774710.2675877,1,10,179
1714774714.4303994,1,10,179
1714774718.5891266,2,18,179
1714774722.7450223,2,18,179
1714774726.9010217,2,18,179
1714774731.075928,2,18,179
1714774735.24495,2,18,179
1714774739.429591,2,18,179
1714774743.5859206,2,18,179
1714774747.7559402,2,18,179
1714774751.918752,2,18,179
1714774756.0847445,2,18,179
1714774760.245119,2,25,173
1714774764.406352,2,25,173
1714774768.5688944,2,25,173
1714774772.7247717,2,25,173
1714774776.8868706,2,25,173
1714774781.051358,2,25,173
1714774785.2101219,2,25,173
1714774789.3763044,3,38,133
1714774793.541329,3,49,91
1714774797.7028825,3,55,91
1714774801.8621469,3,61,83
1714774806.02737,4,72,59
1714774810.185563,4,72,59
1714774814.3624656,4,72,59
1714774818.5226166,4,77,53
1714774822.682308,4,77,53
1714774826.8514206,6,87,24
1714774831.0104156,6,87,24
1714774835.1700659,6,87,24
1714774839.336162,6,91,24
1714774843.4935665,6,91,24
1714774847.6533816,7,99,24
1714774851.8130717,7,99,24
1714774855.976649,7,99,24
1714774860.1351523,7,99,24
1714774864.3026597,7,99,24
1714774868.4651566,7,99,24
1714774872.6322904,7,99,24
1714774876.7972267,7,99,24
1714774880.9651148,7,99,24
1714774885.1345782,8,107,17
1714774889.2997725,8,107,17
1714774893.4603539,8,107,17
1714774897.6260388,8,107,17
1714774901.7860382,8,107,17
1714774905.9562988,13,113,3
1714774910.1410208,13,113,3
1714774914.3040335,13,113,3
1714774918.470644,13,113,3
1714774922.6309204,13,113,3
1714774926.7985,13,113,3
1714774930.9604044,13,113,3
1714774935.1319616,13,113,3
1714774939.289456,13,113,3
1714774943.4486167,14,118,3
1714774947.6098313,14,118,3
1714774951.7790115,14,118,3
1714774955.9494767,14,124,3
1714774960.1148927,14,124,3
1714774964.2735462,14,124,3
1714774968.433598,14,124,3
1714774972.5902925,14,124,3
1714774976.7717292,14,124,3
1714774980.9358883,14,124,3
1714774985.0978816,14,124,3
1714774989.2547271,14,124,3
1714774993.4140599,14,124,3
1714774997.573669,14,124,3
1714775001.7340012,14,124,3
1714775005.9021113,14,124,3
1714775010.0622768,14,124,3
1714775014.2237916,14,124,3
1714775018.3892715,14,124,3
1714775022.5581212,14,124,3
